"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",10193.809964,0,0.324129
"2019",11647.504306,0,0.327963
"2020",13170.880895,0,0.308545
"2021",15766.73,0,0.27
"2022",20038.650777,0,64.773278
