"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",34660.129685,0,1746.913259
"2019",32921.907407,0,1989.953818
"2020",35412.1432,0,1574.156552
"2021",42782.98,0,4745.18
"2022",49149.655944,0,7280.672505
