"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",771.127847,402.787661,65.69375
"2019",909.016022,412.215225,33.938041
"2020",921.884067,443.338813,32.646358
"2021",1013.39,415.64,63.12
"2022",1128.480636,449.531826,401.048571
