"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2019","Viet Nam",93.604692,119.801012,"1%","Germany"
"2020","Viet Nam",120.742868,104.82969,"1%","Germany"
"2021","Viet Nam",100.54975,122.475574,"1%","Germany"
"2022","Viet Nam",88.892072,137.834638,"1%","Germany"
"2018","Bangladesh",113.004104,14.560543,"1%","Germany"
"2019","Bangladesh",132.001842,16.378429,"1%","Germany"
"2020","Bangladesh",147.501309,35.01566,"1%","Germany"
"2021","Bangladesh",130.211366,19.222874,"1%","Germany"
"2022","Bangladesh",162.691714,46.809489,"1%","Germany"
"2018","Niger",110.73601,0,"0%","Germany"
"2019","Niger",113.221389,0,"0%","Germany"
"2020","Niger",152.877618,0,"1%","Germany"
"2021","Niger",154.365308,0,"1%","Germany"
"2022","Niger",186.178559,0,"1%","Germany"
"2018","Pakistan",139.970815,2.370332,"1%","Germany"
"2019","Pakistan",109.604852,0.457266,"0%","Germany"
"2020","Pakistan",115.449973,6.53362,"0%","Germany"
"2021","Pakistan",140.330645,9.925397,"1%","Germany"
"2022","Pakistan",179.40587,1.384684,"1%","Germany"
"2018","Democratic Republic of the Congo",153.162284,0,"1%","Germany"
"2019","Democratic Republic of the Congo",223.879326,0,"1%","Germany"
"2020","Democratic Republic of the Congo",188.999214,0,"1%","Germany"
"2021","Democratic Republic of the Congo",191.199687,0,"1%","Germany"
"2022","Democratic Republic of the Congo",175.803284,0,"1%","Germany"
"2018","Armenia",14.839164,92.614876,"0%","Germany"
"2019","Armenia",13.864806,80.953711,"0%","Germany"
"2020","Armenia",11.19382,27.069619,"0%","Germany"
"2021","Armenia",11.312802,74.482119,"0%","Germany"
"2022","Armenia",12.220377,160.063525,"0%","Germany"
"2018","Somalia",204.407225,0,"1%","Germany"
"2019","Somalia",175.101745,0,"1%","Germany"
"2020","Somalia",218.801139,0,"1%","Germany"
"2021","Somalia",170.784849,0,"1%","Germany"
"2022","Somalia",141.958001,0,"0%","Germany"
"2018","Cameroon",121.687583,0.205387,"1%","Germany"
"2019","Cameroon",124.84798,1.273832,"1%","Germany"
"2020","Cameroon",125.958452,1.624196,"0%","Germany"
"2021","Cameroon",136.540569,0.599351,"0%","Germany"
"2022","Cameroon",124.286659,11.283039,"0%","Germany"
"2018","Serbia",81.291892,125.900087,"1%","Germany"
"2019","Serbia",46.45397,131.608003,"1%","Germany"
"2020","Serbia",61.124784,60.486323,"0%","Germany"
"2021","Serbia",65.879638,60.248589,"0%","Germany"
"2022","Serbia",42.851839,91.03666,"0%","Germany"
"2018","Kenya",69.0534,35.0345,"0%","Germany"
"2019","Kenya",85.698354,15.831408,"0%","Germany"
"2020","Kenya",81.552137,30.414298,"0%","Germany"
"2021","Kenya",63.240139,47.410929,"0%","Germany"
"2022","Kenya",70.743763,60.066932,"0%","Germany"
"2018","Nigeria",134.826857,122.947041,"1%","Germany"
"2019","Nigeria",151.907968,29.182083,"1%","Germany"
"2020","Nigeria",132.191887,0,"0%","Germany"
"2021","Nigeria",156.361879,7.8923,"1%","Germany"
"2022","Nigeria",130.553069,0,"0%","Germany"
"2018","Sudan",65.246062,0,"0%","Germany"
"2019","Sudan",85.500531,0,"0%","Germany"
"2020","Sudan",192.20257,0,"1%","Germany"
"2021","Sudan",167.500388,0,"1%","Germany"
"2022","Sudan",115.981707,0,"0%","Germany"
"2018","Iran",89.690578,0,"0%","Germany"
"2019","Iran",103.43804,0,"0%","Germany"
"2020","Iran",112.031766,0,"0%","Germany"
"2021","Iran",111.135871,0,"0%","Germany"
"2022","Iran",114.710839,0,"0%","Germany"
"2018","Ghana",65.797623,13.348456,"0%","Germany"
"2019","Ghana",95.015029,8.163935,"0%","Germany"
"2020","Ghana",87.202516,11.598192,"0%","Germany"
"2021","Ghana",205.096681,62.854763,"1%","Germany"
"2022","Ghana",98.010195,16.167777,"0%","Germany"
"2018","South Sudan",147.112174,0,"1%","Germany"
"2019","South Sudan",158.592207,0,"1%","Germany"
"2020","South Sudan",166.00184,0,"1%","Germany"
"2021","South Sudan",137.050409,0,"0%","Germany"
"2022","South Sudan",104.265853,0,"0%","Germany"
"2018","Côte d'Ivoire",16.125756,0.638604,"0%","Germany"
"2019","Côte d'Ivoire",52.674592,83.980915,"1%","Germany"
"2020","Côte d'Ivoire",37.762699,48.952228,"0%","Germany"
"2021","Côte d'Ivoire",34.815061,57.925472,"0%","Germany"
"2022","Côte d'Ivoire",34.092534,65.298364,"0%","Germany"
"2018","Mali",135.567887,0,"1%","Germany"
"2019","Mali",119.122516,0,"1%","Germany"
"2020","Mali",116.088098,0,"0%","Germany"
"2021","Mali",118.35669,0,"0%","Germany"
"2022","Mali",94.923656,0,"0%","Germany"
"2018","Namibia",51.182791,19.03364,"0%","Germany"
"2019","Namibia",47.165808,56.419388,"0%","Germany"
"2020","Namibia",48.689711,12.710357,"0%","Germany"
"2021","Namibia",54.694832,35.09256,"0%","Germany"
"2022","Namibia",83.314366,9.900572,"0%","Germany"
"2018","Albania",77.698478,14.571746,"0%","Germany"
"2019","Albania",48.388827,23.010378,"0%","Germany"
"2020","Albania",64.516542,34.50056,"0%","Germany"
"2021","Albania",68.226112,160.667362,"1%","Germany"
"2022","Albania",61.65001,29.551732,"0%","Germany"
"2018","Mozambique",78.13824,0,"0%","Germany"
"2019","Mozambique",54.251799,1.168881,"0%","Germany"
"2020","Mozambique",104.393243,0,"0%","Germany"
"2021","Mozambique",99.875612,0,"0%","Germany"
"2022","Mozambique",88.100854,0,"0%","Germany"
"2018","Mexico",95.426597,199.07807,"1%","Germany"
"2019","Mexico",76.795441,335.233677,"2%","Germany"
"2020","Mexico",76.905406,31.536362,"0%","Germany"
"2021","Mexico",82.932405,37.958072,"0%","Germany"
"2022","Mexico",66.003086,15.153378,"0%","Germany"
"2018","Moldova",13.97233,0,"0%","Germany"
"2019","Moldova",15.472247,0,"0%","Germany"
"2020","Moldova",12.780569,0,"0%","Germany"
"2021","Moldova",16.096784,0,"0%","Germany"
"2022","Moldova",80.610681,0,"0%","Germany"
"2018","Malawi",61.144682,0,"0%","Germany"
"2019","Malawi",73.273685,0,"0%","Germany"
"2020","Malawi",100.45021,3.467757,"0%","Germany"
"2021","Malawi",93.303076,0,"0%","Germany"
"2022","Malawi",78.12131,0,"0%","Germany"
"2018","South Africa",74.755501,77.382119,"1%","Germany"
"2019","South Africa",84.786184,144.971725,"1%","Germany"
"2020","South Africa",77.19695,110.245048,"1%","Germany"
"2021","South Africa",99.171321,0.245073,"0%","Germany"
"2022","South Africa",71.551741,5.467381,"0%","Germany"
"2018","Georgia",37.454328,81.084518,"0%","Germany"
"2019","Georgia",34.568108,91.558556,"1%","Germany"
"2020","Georgia",37.258831,344.440971,"1%","Germany"
"2021","Georgia",40.096825,243.672635,"1%","Germany"
"2022","Georgia",28.788371,42.933692,"0%","Germany"
"2018","Burkina Faso",58.396971,0,"0%","Germany"
"2019","Burkina Faso",86.150499,0,"0%","Germany"
"2020","Burkina Faso",99.931931,0,"0%","Germany"
"2021","Burkina Faso",69.936061,0,"0%","Germany"
"2022","Burkina Faso",70.511091,0,"0%","Germany"
"2018","Madagascar",55.829171,0,"0%","Germany"
"2019","Madagascar",38.865221,0,"0%","Germany"
"2020","Madagascar",38.204247,0,"0%","Germany"
"2021","Madagascar",84.003426,0,"0%","Germany"
"2022","Madagascar",67.449166,0,"0%","Germany"
"2018","Rwanda",48.934219,0,"0%","Germany"
"2019","Rwanda",49.349842,0,"0%","Germany"
"2020","Rwanda",64.042089,0,"0%","Germany"
"2021","Rwanda",100.789329,0,"0%","Germany"
"2022","Rwanda",66.485883,0,"0%","Germany"
"2018","Uganda",56.502761,0,"0%","Germany"
"2019","Uganda",69.392105,4.337794,"0%","Germany"
"2020","Uganda",63.630973,1.438407,"0%","Germany"
"2021","Uganda",73.90289,10.916358,"0%","Germany"
"2022","Uganda",58.898903,6.361514,"0%","Germany"
"2018","Nepal",55.442094,0,"0%","Germany"
"2019","Nepal",50.815568,0,"0%","Germany"
"2020","Nepal",61.47697,0,"0%","Germany"
"2021","Nepal",54.328307,0,"0%","Germany"
"2022","Nepal",64.821426,0,"0%","Germany"
"2018","Zambia",42.53103,0,"0%","Germany"
"2019","Zambia",37.150076,0,"0%","Germany"
"2020","Zambia",61.167998,0,"0%","Germany"
"2021","Zambia",47.506799,0,"0%","Germany"
"2022","Zambia",60.333714,0,"0%","Germany"
"2018","Benin",45.204367,0,"0%","Germany"
"2019","Benin",50.025674,0,"0%","Germany"
"2020","Benin",69.921131,0,"0%","Germany"
"2021","Benin",55.432079,0,"0%","Germany"
"2022","Benin",59.061324,0,"0%","Germany"
"2018","Cambodia",47.601986,10.008987,"0%","Germany"
"2019","Cambodia",39.96204,2.876059,"0%","Germany"
"2020","Cambodia",37.125537,0.992851,"0%","Germany"
"2021","Cambodia",54.350485,0.738355,"0%","Germany"
"2022","Cambodia",53.489031,1.223887,"0%","Germany"
"2018","Central African Republic",53.095437,0,"0%","Germany"
"2019","Central African Republic",60.786148,0,"0%","Germany"
"2020","Central African Republic",53.055469,0,"0%","Germany"
"2021","Central African Republic",69.266406,0,"0%","Germany"
"2022","Central African Republic",53.726041,0,"0%","Germany"
"2018","Senegal",50.784462,0,"0%","Germany"
"2019","Senegal",48.246385,0,"0%","Germany"
"2020","Senegal",183.275478,0,"1%","Germany"
"2021","Senegal",89.260111,29.564806,"0%","Germany"
"2022","Senegal",53.580306,0,"0%","Germany"
"2018","Chad",42.151831,0,"0%","Germany"
"2019","Chad",45.508224,0,"0%","Germany"
"2020","Chad",42.690927,0,"0%","Germany"
"2021","Chad",37.607879,0,"0%","Germany"
"2022","Chad",52.438542,0,"0%","Germany"
"2018","Togo",32.668542,0,"0%","Germany"
"2019","Togo",33.770216,0,"0%","Germany"
"2020","Togo",44.857088,0,"0%","Germany"
