"Year","Multi_short","ODA","Share","full name","country"
"2020","MDRI",10.087764,"2%","International Development Association - Multilateral Debt Relief Initiative","Finland"
"2020","	
Regional Development Banks",46.295019,"7%","Regional Development Banks","Finland"
"2020","AfDB",0,"0%","African Development Bank","Finland"
"2020","African Development Fund",31.295497,"5%","African Development Fund","Finland"
"2020","ADB",3.031799,"0%","Asian Development Bank","Finland"
"2020","AIIB",11.967723,"2%","Asian Infrastructure Investment Bank","Finland"
"2020","Other multilateral institutions",65.057888,"10%","Other multilateral institutions","Finland"
"2020","Gavi",3.031799,"0%","Global Alliance for Vaccines and Immunization","Finland"
"2020","GEF-Least Developed Countries Fund",8.489037,"1%","Global Environment Facility - Least Developed Countries Fund","Finland"
"2020","GEF Fund",9.932173,"1%","Global Environment Facility Trust Fund","Finland"
"2020","GCF",32.69492,"5%","Green Climate Fund","Finland"
"2021","UN agency, fund or commission",240.199361,"30%","United Nations (UN) agency, fund or commission","Finland"
"2021","CERF",21.596094,"3%","Central Emergency Response Fund","Finland"
"2021","FAO",1.712428,"0%","Food and Agricultural Organisation","Finland"
"2021","IFAD",78.687708,"10%","International Fund for Agricultural Development","Finland"
"2021","UNDP",2.365184,"0%","United Nations Development Programme","Finland"
"2021","UN Women",22.469253,"3%","United Nations Entity for Gender Equality and the Empowerment of Women","Finland"
"2021","UNEP",3.055601,"0%","United Nations Environment Programme","Finland"
"2021","UNFCCC",0.103609,"0%","United Nations Framework Convention on Climate Change","Finland"
"2021","UNOCHA",2.956481,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Finland"
"2021","UNFPA",39.025544,"5%","United Nations Population Fund","Finland"
"2021","WFP",9.460738,"1%","World Food Programme","Finland"
"2021","WHO - assessed contributions",1.602897,"0%","World Health Organisation - assessed contributions","Finland"
"2021","WHO - core voluntary contributions",2.804274,"0%","World Health Organisation - core voluntary contributions account","Finland"
"2021","EUI",288.966895,"36%","European Union Institutions","Finland"
"2021","EC - Development Share of Budget",221.495074,"28%","European Commission - Development Share of Budget","Finland"
"2021","EC - EDF",67.471821,"8%","European Commission - European Development Fund","Finland"
"2021","WB",88.240057,"11%","World Bank Group (WB)","Finland"
"2021","IBRD",8.956,"1%","International Bank for Reconstruction and Development","Finland"
"2021","IDA",59.48439,"7%","International Development Association","Finland"
"2021","MDRI",12.999667,"2%","International Development Association - Multilateral Debt Relief Initiative","Finland"
"2021","	
Regional Development Banks",124.724438,"16%","Regional Development Banks","Finland"
"2021","AfDB",4.327619,"1%","African Development Bank","Finland"
"2021","African Development Fund",120.108973,"15%","African Development Fund","Finland"
"2021","ADF",0.287846,"0%","Asian Development Fund","Finland"
"2021","AIIB",0,"0%","Asian Infrastructure Investment Bank","Finland"
"2021","Other multilateral institutions",53.297738,"7%","Other multilateral institutions","Finland"
"2021","GEF-Least Developed Countries Fund",2.365184,"0%","Global Environment Facility - Least Developed Countries Fund","Finland"
"2021","GEF Fund",10.052034,"1%","Global Environment Facility Trust Fund","Finland"
"2021","GCF",26.549196,"3%","Green Climate Fund","Finland"
"2022","UN agency, fund or commission",157.193152,"25%","United Nations (UN) agency, fund or commission","Finland"
"2022","CERF",16.729847,"3%","Central Emergency Response Fund","Finland"
"2022","FAO",1.667875,"0%","Food and Agricultural Organisation","Finland"
"2022","IFAD",6.691939,"1%","International Fund for Agricultural Development","Finland"
"2022","UNDP",2.230646,"0%","United Nations Development Programme","Finland"
"2022","UN Women",21.19114,"3%","United Nations Entity for Gender Equality and the Empowerment of Women","Finland"
"2022","UNEP",2.881022,"0%","United Nations Environment Programme","Finland"
"2022","UNFCCC",0.105848,"0%","United Nations Framework Convention on Climate Change","Finland"
"2022","UNOCHA",2.788308,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Finland"
"2022","UNFPA",36.805663,"6%","United Nations Population Fund","Finland"
"2022","WFP",8.922585,"1%","World Food Programme","Finland"
"2022","WHO - assessed contributions",1.51172,"0%","World Health Organisation - assessed contributions","Finland"
"2022","WHO - core voluntary contributions",2.416249,"0%","World Health Organisation - core voluntary contributions account","Finland"
"2022","EUI",304.824778,"48%","European Union Institutions","Finland"
"2022","EC - Development Share of Budget",258.345247,"41%","European Commission - Development Share of Budget","Finland"
"2022","EC - EDF",46.479531,"7%","European Commission - European Development Fund","Finland"
"2022","WB",96.636961,"15%","World Bank Group (WB)","Finland"
"2022","IBRD",9.556029,"2%","International Bank for Reconstruction and Development","Finland"
"2022","IDA",66.02713,"10%","International Development Association","Finland"
"2022","MDRI",13.925243,"2%","International Development Association - Multilateral Debt Relief Initiative","Finland"
"2022","	
Regional Development Banks",31.763773,"5%","Regional Development Banks","Finland"
"2022","AfDB",4.081453,"1%","African Development Bank","Finland"
"2022","African Development Fund",27.68232,"4%","African Development Fund","Finland"
"2022","Other multilateral institutions",41.807156,"7%","Other multilateral institutions","Finland"
"2022","GEF-Least Developed Countries Fund",2.230646,"0%","Global Environment Facility - Least Developed Countries Fund","Finland"
"2022","GEF Fund",11.710893,"2%","Global Environment Facility Trust Fund","Finland"
"2022","GCF",20.74501,"3%","Green Climate Fund","Finland"
