"Year","Multi_short","ODA","Share","full name","country"
"2020","Other multilateral institutions",8.178988,"5%","Other multilateral institutions","Luxembourg"
"2020","Gavi",1.029063,"1%","Global Alliance for Vaccines and Immunization","Luxembourg"
"2020","GEF Fund",1.500236,"1%","Global Environment Facility Trust Fund","Luxembourg"
"2020","Global Fund",3.388377,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
"2021","UN agency, fund or commission",72.328531,"41%","United Nations (UN) agency, fund or commission","Luxembourg"
"2021","CERF",5.912961,"3%","Central Emergency Response Fund","Luxembourg"
"2021","FAO",0.273224,"0%","Food and Agricultural Organisation","Luxembourg"
"2021","IFAD",3.666035,"2%","International Fund for Agricultural Development","Luxembourg"
"2021","UNDP",7.56859,"4%","United Nations Development Programme","Luxembourg"
"2021","UN Women",2.128666,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Luxembourg"
"2021","UNEP",0.05913,"0%","United Nations Environment Programme","Luxembourg"
"2021","UNOCHA",1.123463,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Luxembourg"
"2021","UNFPA",8.514664,"5%","United Nations Population Fund","Luxembourg"
"2021","WFP",2.365184,"1%","World Food Programme","Luxembourg"
"2021","WHO - assessed contributions",8.94568,"5%","World Health Organisation - assessed contributions","Luxembourg"
"2021","EUI",50.443024,"29%","European Union Institutions","Luxembourg"
"2021","EC - Development Share of Budget",39.128766,"22%","European Commission - Development Share of Budget","Luxembourg"
"2021","EC - EDF",10.396913,"6%","European Commission - European Development Fund","Luxembourg"
"2021","EIB",0.917345,"1%","European Investment Bank","Luxembourg"
"2021","WB",23.368022,"13%","World Bank Group (WB)","Luxembourg"
"2021","IDA",21.298486,"12%","International Development Association","Luxembourg"
"2021","	
Regional Development Banks",17.711769,"10%","Regional Development Banks","Luxembourg"
"2021","African Development Fund",4.969659,"3%","African Development Fund","Luxembourg"
"2021","ADF",10.376926,"6%","Asian Development Fund","Luxembourg"
"2021","EBRD",2.365184,"1%","European Bank for Reconstruction and Development","Luxembourg"
"2021","Other multilateral institutions",11.160406,"6%","Other multilateral institutions","Luxembourg"
"2021","Gavi",1.182592,"1%","Global Alliance for Vaccines and Immunization","Luxembourg"
"2021","GEF-Least Developed Countries Fund",1.4103,"1%","Global Environment Facility - Least Developed Countries Fund","Luxembourg"
"2021","Global Fund",5.912961,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
"2022","UN agency, fund or commission",65.704936,"39%","United Nations (UN) agency, fund or commission","Luxembourg"
"2022","CERF",5.577935,"3%","Central Emergency Response Fund","Luxembourg"
"2022","FAO",0.264671,"0%","Food and Agricultural Organisation","Luxembourg"
"2022","IFAD",1.450263,"1%","International Fund for Agricultural Development","Luxembourg"
"2022","UNDP",9.259372,"6%","United Nations Development Programme","Luxembourg"
"2022","UN Women",5.689494,"3%","United Nations Entity for Gender Equality and the Empowerment of Women","Luxembourg"
"2022","UNEP",0.055779,"0%","United Nations Environment Programme","Luxembourg"
"2022","UNOCHA",1.282925,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Luxembourg"
"2022","UNFPA",10.040282,"6%","United Nations Population Fund","Luxembourg"
"2022","WFP",1.115587,"1%","World Food Programme","Luxembourg"
"2022","WHO - assessed contributions",0.24645,"0%","World Health Organisation - assessed contributions","Luxembourg"
"2022","WHO - core voluntary contributions",10.988532,"7%","World Health Organisation - core voluntary contributions account","Luxembourg"
"2022","EUI",63.977114,"38%","European Union Institutions","Luxembourg"
"2022","EC - Development Share of Budget",56.143746,"34%","European Commission - Development Share of Budget","Luxembourg"
"2022","EC - EDF",6.979643,"4%","European Commission - European Development Fund","Luxembourg"
"2022","EIB",0.853725,"1%","European Investment Bank","Luxembourg"
"2022","WB",23.795472,"14%","World Bank Group (WB)","Luxembourg"
"2022","IDA",21.285401,"13%","International Development Association","Luxembourg"
"2022","	
Regional Development Banks",4.56879,"3%","Regional Development Banks","Luxembourg"
"2022","AfDB",1.789448,"1%","African Development Bank","Luxembourg"
"2022","African Development Fund",2.779342,"2%","African Development Fund","Luxembourg"
"2022","Other multilateral institutions",8.361349,"5%","Other multilateral institutions","Luxembourg"
"2022","Gavi",1.115587,"1%","Global Alliance for Vaccines and Immunization","Luxembourg"
"2022","GEF-Least Developed Countries Fund",1.335135,"1%","Global Environment Facility - Least Developed Countries Fund","Luxembourg"
"2022","Global Fund",3.346761,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
