Year,ODA as % GNI,ODA as % of GNI (estimate),ODA as % of GNI (downside),ODA as % of GNI (upside),Total ODA,Total ODA (estimate),Upside ODA projection,Downside ODA projection
2018,0.16%,NA,NA,NA,36800.52944,NA,NA,NA
2019,0.15%,NA,NA,NA,35453.43844,NA,NA,NA
2020,0.17%,NA,NA,NA,37174.28027,NA,NA,NA
2021,0.20%,NA,NA,NA,47804.8,NA,NA,NA
2022,0.24%,NA,,,56611.5399,NA,NA,NA
2023 (estimate),,,0.243553289,0.243553289,,,60008.23229,60008.23229
