"Year","ODA for Development Priorities","Contributions to EUI","In-donor Refugee Costs"
"2018",2402.983418,0,1.815976
"2019",2666.55988,0,1.494542
"2020",2421.847279,0,1.447987
"2021",2997.32,0,0.53
"2022",3200.517909,0,11.937859
