Donor,Year,ODA AS % GNI,Total ODA
Finland,2018,0.36%,1046.554563483
Finland,2019,0.42%,1249.2405611092
Finland,2020,0.47%,1364.7854130581
Finland,2021,0.47%,1451.4423032142
Finland,2022,0.57%,1736.3068139999998
Finland,2023,0.54%,1586.2155328063
Finland,2024,0.36%,1143.4808
Finland,2025,0.36%,1167.1242
