Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,2292.62,353.73,58.78,Denmark
2021,2380.38,350.58,60.55,Denmark
2022,2008.06,370.96,352.49,Denmark
2023,2346.28,365.22,276.54,Denmark
2024,2390.2,413.59,180.17,Denmark
