Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,154.34,243.82,8.03,Czechia
2020,126.86,247.44,7.02,Czechia
2021,134.75,279.75,7.4,Czechia
2022,140.2,323.18,738.62,Czechia
2023,117.69,273.03,418.33,Czechia
