Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,2100.23,2008.72,474.34,Italy
2020,2223.82,2073.12,236.09,Italy
2021,3461.31,2146.84,545.64,Italy
2022,3142.31,2457.37,1585.64,Italy
2023,2094.52,2261.63,1660.07,Italy
