Donor,Year,ODA AS % GNI,Total ODA
New Zealand,2019,0.28%,605.899367
New Zealand,2020,0.26%,574.706109
New Zealand,2021,0.28%,661.989321
New Zealand,2022,0.22%,525.59053
New Zealand,2023,0.31%,763.91
New Zealand,2024,0.32%,767.546708
New Zealand,2025,0.22%,550.0
New Zealand,2026,0.22%,563.0
