Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,439.45,53.51,0.17,Luxembourg
2021,491.46,50.7,0.0,Luxembourg
2022,500.42,64.24,0.0,Luxembourg
2023,527.0,53.31,0.0,Luxembourg
2024,518.83,59.97,0.0,Luxembourg
