Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,4713.85,0.0,552.72,Canada
2020,4946.84,0.0,735.92,Canada
2021,5841.58,0.0,467.4,Canada
2022,8156.19,0.0,901.87,Canada
2023,7387.96,0.0,1690.11,Canada
