Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,62.7,0.0,6.85,Iceland
2021,70.43,0.0,4.59,Iceland
2022,91.21,0.0,6.61,Iceland
2023,101.14,0.0,9.62,Iceland
2024,99.94,0.0,6.81,Iceland
