Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Sweden,2019,5401.374943,2228.02,1802.42,1370.93,25%,41%,33%
Sweden,2020,6288.682068,2113.5,2757.06,1418.12,23%,34%,44%
Sweden,2021,5334.307013,2165.97,1811.6,1356.74,25%,41%,34%
Sweden,2022,5457.97,2301.72,1969.92,1186.32,22%,42%,36%
Sweden,2023,5587.389715,2118.15,2258.47,1210.77,22%,38%,40%
