Donor,Year,ODA AS % GNI,Total ODA
Australia,2018,0.23%,3437.906426964
Australia,2019,0.22%,3294.7043683044
Australia,2020,0.21%,3268.112289822
Australia,2021,0.22%,3507.9033979968
Australia,2022,0.19%,3022.830552
Australia,2023,0.19%,3253.3867102896
Australia,2024,0.19%,3205.4519999999998
Australia,2025,0.18%,3137.9687999999996
