Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,27.64,34.18,0.76,Estonia
2021,35.57,33.56,0.0,Estonia
2022,28.77,42.5,152.41,Estonia
2023,33.76,41.97,33.78,Estonia
2024,32.15,46.09,2.46,Estonia
