Donor,Year,ODA AS % GNI,Total ODA
Lithuania,2018,0.12%,83.75769527400001
Lithuania,2019,0.13%,89.56318819
Lithuania,2020,0.13%,91.895942066
Lithuania,2021,0.14%,99.69702450400001
Lithuania,2022,0.36%,270.99164
Lithuania,2023,0.3%,213.41769927800004
Lithuania,2024,0.12%,95.804
Lithuania,2025,0.12%,99.14600000000002
