Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,4756.45,712.99,567.06,Netherlands
2020,4578.16,699.53,621.57,Netherlands
2021,4376.1,657.61,422.37,Netherlands
2022,4920.65,1154.21,1043.54,Netherlands
2023,4930.18,1039.21,1296.53,Netherlands
