Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,909.47,261.27,98.98,Finland
2020,1016.57,284.43,63.49,Finland
2021,1147.94,291.02,69.26,Finland
2022,986.31,308.89,440.52,Finland
2023,1113.86,279.85,249.51,Finland
