Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Switzerland,2019,3570.2656663919997,1998.12,863.71,708.44,20%,56%,24%
Switzerland,2020,3906.5667246900002,2164.13,964.73,777.7,20%,55%,25%
Switzerland,2021,4124.384075064,2160.99,1015.71,947.69,23%,52%,25%
Switzerland,2022,4829.98206,3117.37,891.47,821.14,17%,65%,18%
Switzerland,2023,5219.161322496001,3346.77,1041.34,831.05,16%,64%,20%
