Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,55.97,105.1,1.11,Slovak Republic
2021,57.07,109.71,1.31,Slovak Republic
2022,63.99,129.16,1.49,Slovak Republic
2023,55.01,118.89,1.55,Slovak Republic
2024,39.46,141.79,1.04,Slovak Republic
