Donor,Year,ODA AS % GNI,Total ODA
Canada,2018,0.28%,5390.7885538683
Canada,2019,0.27%,5488.0727905761005
Canada,2020,0.31%,5893.711579094201
Canada,2021,0.32%,6354.3942573259
Canada,2022,0.37%,7653.108656
Canada,2023,0.38%,7965.4730662642005
Canada,2024,0.27%,5649.2328
Canada,2025,0.27%,5761.5533000000005
