Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
New Zealand,2019,607.0266334396,416.11,108.74,82.16,14%,69%,18%
New Zealand,2020,576.3092742528,379.67,104.8,91.84,16%,66%,18%
New Zealand,2021,663.9878239499999,447.49,102.79,113.71,17%,67%,15%
New Zealand,2022,528.213796,336.7,102.3,89.21,17%,64%,19%
New Zealand,2023,763.88469597,472.08,124.12,167.68,22%,62%,16%
