Donor,Year,ODA AS % GNI,Total ODA
Belgium,2018,0.43%,2487.4843182104
Belgium,2019,0.41%,2424.2170564026
Belgium,2020,0.48%,2526.0020764523
Belgium,2021,0.43%,2633.1027023277998
Belgium,2022,0.45%,2840.096223
Belgium,2023,0.44%,2814.3320932863994
Belgium,2024,0.44%,3070.4552
Belgium,2025,0.39%,2749.7252
