Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Germany,2020,31535.196763,18594.07,7240.39,5700.73,18%,59%,23%
Germany,2021,34261.431532,18552.39,8748.96,6960.08,20%,54%,26%
Germany,2022,38897.487451,21290.15,7990.89,9616.46,25%,55%,21%
Germany,2023,37904.78,22613.17,10706.34,4585.27,12%,60%,28%
Germany,2024,31382.3973,23607.77,7774.61,0.0,0%,75%,25%
