Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Belgium,2019,2267.530686,1027.32,1085.98,154.23,7%,45%,48%
Belgium,2020,2362.736953,985.2,1194.67,182.88,8%,42%,51%
Belgium,2021,2462.915258,1078.43,1191.71,192.78,8%,44%,48%
Belgium,2022,2656.53,1078.57,1348.63,229.33,9%,41%,51%
Belgium,2023,2632.431104,1100.42,1317.36,214.64,8%,42%,50%
