Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Austria,2020,1375.333065,435.7,820.87,118.78,9%,32%,60%
Austria,2021,1498.23804,527.51,800.18,170.55,11%,35%,53%
Austria,2022,2025.197729,982.14,841.35,201.71,10%,48%,42%
Austria,2023,1958.53,831.02,929.18,198.33,10%,42%,47%
Austria,2024,1772.981267,916.74,856.24,0.0,0%,52%,48%
