Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,18108.15,2134.12,883.5,United Kingdom
2021,13307.32,1855.35,1479.8,United Kingdom
2022,11014.94,1115.51,4922.02,United Kingdom
2023,12643.25,660.96,5311.44,United Kingdom
2024,11552.97,462.76,3425.82,United Kingdom
