Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,941.47,426.93,35.15,Austria
2020,953.46,458.52,33.76,Austria
2021,1046.89,429.38,65.21,Austria
2022,1155.19,460.17,410.54,Austria
2023,1124.42,418.82,287.3,Austria
