Donor,Year,ODA AS % GNI,Total ODA
Luxembourg,2018,0.98%,549.6808565325
Luxembourg,2019,1.03%,573.695562
Luxembourg,2020,1.03%,516.466290144
Luxembourg,2021,0.99%,567.659704167
Luxembourg,2022,1.0%,590.81874
Luxembourg,2023,0.99%,580.3102811025001
Luxembourg,2024,0.98%,650.868
Luxembourg,2025,0.98%,668.7
