Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,5719.61,485.08,149.44,Sweden
2021,4824.66,480.47,79.77,Sweden
2022,4606.01,526.89,388.85,Sweden
2023,4768.56,459.67,253.7,Sweden
2024,4029.87,542.23,125.75,Sweden
