Donor,Year,ODA AS % GNI,Total ODA
Slovak Republic,2019,0.11%,138.615268
Slovak Republic,2020,0.14%,162.16853
Slovak Republic,2021,0.14%,168.084517
Slovak Republic,2022,0.15%,194.645159
Slovak Republic,2023,0.14%,175.45
Slovak Republic,2024,0.14%,182.281872
Slovak Republic,2025,0.11%,148.0
Slovak Republic,2026,0.11%,151.0
