Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,305.5,198.14,3.15,Hungary
2021,320.91,166.28,1.55,Hungary
2022,418.92,29.84,0.0,Hungary
2023,240.53,14.1,1.98,Hungary
2024,196.05,1.16,0.48,Hungary
