Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,194.93,226.32,8.67,Portugal
2020,195.72,250.33,10.6,Portugal
2021,181.21,266.42,11.36,Portugal
2022,174.38,293.44,15.64,Portugal
2023,166.86,278.95,9.12,Portugal
