Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,19.84,68.07,1.65,Lithuania
2020,21.33,69.03,1.53,Lithuania
2021,30.28,67.21,2.2,Lithuania
2022,86.66,101.8,82.53,Lithuania
2023,98.13,80.03,35.26,Lithuania
