Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,9508.75,0.0,0.27,Japan
2020,10749.24,0.0,0.25,Japan
2021,12784.81,0.0,0.22,Japan
2022,16162.54,0.0,52.24,Japan
2023,18626.53,0.0,35.23,Japan
