Donor,Year,ODA AS % GNI,Total ODA
Austria,2018,0.26%,1287.9654244955998
Austria,2019,0.28%,1406.7690740568
Austria,2020,0.3%,1393.1907837191998
Austria,2021,0.31%,1515.2631752322
Austria,2022,0.39%,2038.0460039999998
Austria,2023,0.38%,1958.448796875
Austria,2024,0.26%,1469.7287999999999
Austria,2025,0.26%,1485.1763999999998
