Donor,Year,ODA AS % GNI,Total ODA
Estonia,2019,0.16%,62.168399
Estonia,2020,0.17%,62.580519
Estonia,2021,0.16%,69.127089
Estonia,2022,0.54%,223.677735
Estonia,2023,0.28%,109.5
Estonia,2024,0.2%,80.699348
Estonia,2025,0.16%,64.0
Estonia,2026,0.16%,65.0
