Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,2418.66,0.0,1.36,Korea
2020,2196.69,0.0,1.31,Korea
2021,2711.65,0.0,0.48,Korea
2022,2918.62,0.0,10.89,Korea
2023,3295.29,0.0,1.27,Korea
