Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,8962.39,2804.11,1321.05,France
2020,12453.95,2972.71,1276.61,France
2021,12370.12,3055.56,1146.1,France
2022,13963.42,3385.78,1658.34,France
2023,11458.12,3091.03,1281.86,France
