Donor,Year,ODA AS % GNI,Total ODA
Czechia,2019,0.13%,408.280078
Czechia,2020,0.13%,382.558078
Czechia,2021,0.13%,420.375321
Czechia,2022,0.38%,1196.193278
Czechia,2023,0.24%,810.28
Czechia,2024,0.17%,574.527796
Czechia,2025,0.13%,455.0
Czechia,2026,0.13%,465.0
