Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,10.41,34.97,1.16,Latvia
2021,11.2,37.74,1.94,Latvia
2022,39.58,45.05,73.37,Latvia
2023,51.51,45.16,44.26,Latvia
2024,33.1,41.03,35.62,Latvia
