Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,363.91,562.96,7.16,Poland
2020,307.81,654.52,8.04,Poland
2021,362.68,708.3,18.94,Poland
2022,604.99,907.98,2576.84,Poland
2023,429.42,810.86,1330.79,Poland
