Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,3281.51,0.0,0.0,Australia
2021,3516.43,0.0,0.0,Australia
2022,3054.51,0.0,0.0,Australia
2023,3250.5,0.0,0.0,Australia
2024,3222.85,0.0,0.0,Australia
