Donor,Year,ODA AS % GNI,Total ODA
Switzerland,2018,0.44%,3511.515552996
Switzerland,2019,0.44%,3570.265666392
Switzerland,2020,0.49%,3906.5667246900007
Switzerland,2021,0.5%,4124.384075064
Switzerland,2022,0.56%,4829.98206
Switzerland,2023,0.6%,5219.161322496
Switzerland,2024,0.52%,4945.77
Switzerland,2025,0.5%,4767.486
