Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,4657.42,0.0,65.43,Norway
2020,5002.92,0.0,57.13,Norway
2021,4343.36,0.0,49.11,Norway
2022,3814.15,0.0,424.05,Norway
2023,4865.48,0.0,427.74,Norway
