Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Slovenia,2020,103.63065,31.08,69.14,3.42,3%,30%,67%
Slovenia,2021,124.536286,37.67,75.16,11.7,9%,30%,60%
Slovenia,2022,190.90545,86.71,92.02,12.15,6%,45%,48%
Slovenia,2023,163.67,60.06,95.59,8.01,5%,37%,58%
Slovenia,2024,160.737675,56.2,104.53,0.0,0%,35%,65%
