Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,589.36,0.0,17.66,New Zealand
2020,567.41,0.0,8.9,New Zealand
2021,652.68,0.0,11.31,New Zealand
2022,513.86,0.0,14.35,New Zealand
2023,750.69,0.0,13.2,New Zealand
