Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,22715.18,0.0,0.0,EU Institutions
2021,21007.97,0.0,0.0,EU Institutions
2022,29585.22,0.0,0.0,EU Institutions
2023,37544.23,0.0,0.0,EU Institutions
2024,34681.38,3.88,0.0,EU Institutions
