Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,3239.34,0.0,326.75,Switzerland
2020,3725.72,0.0,354.05,Switzerland
2021,3735.33,0.0,388.35,Switzerland
2022,3471.22,0.0,1357.89,Switzerland
2023,3732.01,0.0,1459.55,Switzerland
