Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Hungary,2019,315.619356,147.43,154.67,13.51,4%,47%,49%
Hungary,2020,420.985976,208.82,193.38,18.79,4%,50%,46%
Hungary,2021,405.293008,225.58,169.38,10.32,3%,56%,42%
Hungary,2022,371.28,289.27,76.96,5.05,1%,78%,21%
Hungary,2023,224.244247,175.38,45.11,3.76,2%,78%,20%
