Donor,Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
Norway,2019,4722.850863374001,2040.47,1090.05,1592.34,34%,43%,23%
Norway,2020,5060.044645316,2101.81,1311.84,1646.4,33%,42%,26%
Norway,2021,4392.4704825728,1849.59,1118.82,1424.06,32%,42%,25%
Norway,2022,4238.196776,2064.0,864.71,1309.49,31%,49%,20%
Norway,2023,5548.2732906464,2543.99,1020.61,1983.68,36%,46%,18%
