Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,742.71,270.4,40.23,Ireland
2021,808.51,313.76,51.09,Ireland
2022,893.02,394.92,1288.66,Ireland
2023,947.71,395.69,1473.19,Ireland
2024,971.78,473.93,976.54,Ireland
