Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2019,33.23,226.01,149.37,Greece
2020,25.6,244.4,88.46,Greece
2021,82.55,233.65,37.98,Greece
2022,44.71,267.38,79.27,Greece
2023,34.76,249.36,50.2,Greece
