Year,Multi_short,ODA,Share,Full Name,Donor
2020,GEF-TF,18.42,0.04%,Global Environment Facility Trust Fund,Belgium
2020,UNICEF,18.42,0.04%,United Nations Children's Fund ,Belgium
2020,UN,18.04,0.03%,United Nations,Belgium
2020,EIB,13.01,0.03%,European Investment Bank ,Belgium
2020,UNDP,12.28,0.02%,United Nations Development Programme ,Belgium
2020,UNFPA,11.05,0.02%,United Nations Population Fund ,Belgium
2020,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,10.66,0.02%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Belgium
2020,AIIB,10.61,0.02%,Asian Infrastructure Investment Bank,Belgium
2020,United Nations Office of the High Commissioner for Refugees,9.83,0.02%,United Nations Office of the High Commissioner for Refugees,Belgium
2020,World Health Organisation - core voluntary contributions account,9.83,0.02%,World Health Organisation - core voluntary contributions account,Belgium
2020,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",8.46,0.02%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Belgium
2020,UNRWA,7.86,0.02%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Belgium
2020,Organization for Security and Co-operation in Europe,6.27,0.01%,Organization for Security and Co-operation in Europe,Belgium
2020,Global Environment Facility - Least Developed Countries Fund,6.14,0.01%,Global Environment Facility - Least Developed Countries Fund,Belgium
2020,WFP,5.9,0.01%,World Food Programme ,Belgium
2020,UNEP,4.98,0.01%,United Nations Environment Programme ,Belgium
2020,International Organisation of the Francophonie,4.93,0.01%,International Organisation of the Francophonie,Belgium
2020,United Nations Entity for Gender Equality and the Empowerment of Women,4.91,0.01%,United Nations Entity for Gender Equality and the Empowerment of Women,Belgium
2020,International Labour Organisation - Regular Budget Supplementary Account,3.68,0.01%,International Labour Organisation - Regular Budget Supplementary Account,Belgium
2020,Joint United Nations Programme on HIV/AIDS ,3.68,0.01%,Joint United Nations Programme on HIV/AIDS ,Belgium
2020,FAO,3.64,0.01%,Food and Agricultural Organisation,Belgium
2020,Council of Europe,3.16,0.01%,Council of Europe,Belgium
2020,CGIAR ,3.07,0.01%,CGIAR Fund,Belgium
2020,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),3.07,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Belgium
2020,International Atomic Energy Agency - assessed contributions,2.46,0.0%,International Atomic Energy Agency - assessed contributions,Belgium
2020,United Nations Peacebuilding Fund,2.46,0.0%,United Nations Peacebuilding Fund,Belgium
2020,MLF-MP,2.35,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Belgium
2020,AF,2.09,0.0%,Adaptation Fund,Belgium
2020,"United Nations Educational, Scientific and Cultural Organisation",1.82,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Belgium
2020,International Organisation for Migration ,1.76,0.0%,International Organisation for Migration ,Belgium
2020,International Renewable Energy Agency,1.36,0.0%,International Renewable Energy Agency,Belgium
