Donor,Year,ODA AS % GNI,Total ODA
Poland,2018,0.14%,911.3887934580001
Poland,2019,0.14%,953.0879623188001
Poland,2020,0.14%,991.06031079
Poland,2021,0.15%,1103.7107420592001
Poland,2022,0.53%,4107.3710040000005
Poland,2023,0.33%,2580.3951331092
Poland,2024,0.14%,1309.902
Poland,2025,0.14%,1355.7192
