Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs,Donor
2020,1280.29,1474.28,210.68,Spain
2021,1663.15,1516.85,236.06,Spain
2022,1755.84,1673.52,990.8,Spain
2023,1731.4,1600.07,318.97,Spain
2024,1666.4,1936.42,412.59,Spain
