"","Rio Marker","Cross-cutting","Bilateral ODA","Share","Donor"
"1","Adaptation_value",48.203231,44.623999,"96.7493852561982%","Ireland"
"2","Mitigation_value",48.203231,3.11883700000001,"53.4905385960219%","Ireland"
