"","Year","ODA as % GNI","ODA as % of GNI (estimate)","ODA as % of GNI (downside)","ODA as % of GNI (upside)","Total ODA","Total ODA (estimate)","Upside ODA projection","Downside ODA projection"
"1","2018","31.4341%",NA,NA,NA,964.744593,NA,NA,NA
"2","2019","31.5665%",NA,NA,NA,1027.511694,NA,NA,NA
"3","2020","30.5491%",NA,NA,NA,1029.561889,NA,NA,NA
"4","2021","30.1896%",NA,NA,NA,1154.89,NA,NA,NA
"5","2022","64.1481%",NA,"64.1481%","64.1481%",2599.644651,NA,NA,NA
