"","PurposeName","Funding_2021"
"1","Household food security programmes",23.82
"2","Agricultural research",20.49
"3","Livestock",17.41
"4","Agricultural development",14.13
"5","Food crop production",6.1
"6","Agricultural education/training",5.98
"7","Food security policy and administrative management",3.5
"8","Agricultural inputs",2.64
"9","Fishery development",2.64
"10","Agricultural policy and administrative management",1.72
