"","RegionName","Funding_2021"
"1","South of Sahara",621.95
"2","Regional and Unspecified",247.05
"3","South & Central Asia",47.69
"4","Caribbean & Central America",41.34
"5","South America",32.18
"6","Far East Asia",21.12
"7","Oceania",13.85
"8","Africa",9.39
"9","Middle East",8.9
"10","Asia",5.14
"11","North of Sahara",2.85
"12","America",0.34
"13","Europe",0.11
